case_id,match_status,query_key_used,matched_email_count,matched_email_ids,qualifying_outgoing_count,incoming_evidence_count,incoming_evidence_ids,review_status,manual_login_required_for_live_browser,strict_konu_boundary,timeout_seconds,resume_key,automatic_send_allowed,synthetic_only
KEPCASE000001,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000001,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000001,False,True
KEPCASE000002,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000002,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000002,False,True
KEPCASE000003,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000003,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000003,False,True
KEPCASE000004,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000004,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000004,False,True
KEPCASE000005,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000005,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000005,False,True
KEPCASE000006,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000006,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000006,False,True
KEPCASE000007,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000007,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000007,False,True
KEPCASE000008,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000008,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000008,False,True
KEPCASE000009,MATCH_SAYI,sayi,1,MAIL0000009,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000009,False,True
KEPCASE000010,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000010,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000010,False,True
KEPCASE000011,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000011,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000011,False,True
KEPCASE000012,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000012,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000012,False,True
KEPCASE000013,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000013,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000013,False,True
KEPCASE000014,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000014,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000014,False,True
KEPCASE000015,MATCH_SAYI,sayi,1,MAIL0000015,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000015,False,True
KEPCASE000016,NOT_FOUND,sayi,0,,0,0,,PENDING,True,True,90,KEPCASE000016,False,True
KEPCASE000017,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000016,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000017,False,True
KEPCASE000018,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000017,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000018,False,True
KEPCASE000019,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000018,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000019,False,True
KEPCASE000020,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000019,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000020,False,True
KEPCASE000021,EXCLUDED_ICRA,,0,,0,0,,NOT_REQUIRED,True,True,90,KEPCASE000021,False,True
KEPCASE000022,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000020,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000022,False,True
KEPCASE000023,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000021,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000023,False,True
KEPCASE000024,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000022,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000024,False,True
KEPCASE000025,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000023,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000025,False,True
KEPCASE000026,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000024,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000026,False,True
KEPCASE000027,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000025,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000027,False,True
KEPCASE000028,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000026,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000028,False,True
KEPCASE000029,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000027,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000029,False,True
KEPCASE000030,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000028,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000030,False,True
KEPCASE000031,AMBIGUOUS_MULTIPLE,sorusturma_no,2,MAIL0000029|MAIL0000030,2,0,,PENDING,True,True,90,KEPCASE000031,False,True
KEPCASE000032,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000031,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000032,False,True
KEPCASE000033,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000032,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000033,False,True
KEPCASE000034,MATCH_SAYI,sayi,1,MAIL0000033,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000034,False,True
KEPCASE000035,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000034,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000035,False,True
KEPCASE000036,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000035,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000036,False,True
KEPCASE000037,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000036,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000037,False,True
KEPCASE000038,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000037,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000038,False,True
KEPCASE000039,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000038,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000039,False,True
KEPCASE000040,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000039,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000040,False,True
KEPCASE000041,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000040,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000041,False,True
KEPCASE000042,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000041,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000042,False,True
KEPCASE000043,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000042,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000043,False,True
KEPCASE000044,MATCH_SAYI,sayi,1,MAIL0000043,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000044,False,True
KEPCASE000045,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000044,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000045,False,True
KEPCASE000046,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000045,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000046,False,True
KEPCASE000047,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000046,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000047,False,True
KEPCASE000048,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000047,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000048,False,True
KEPCASE000049,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000048,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000049,False,True
KEPCASE000050,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000049,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000050,False,True
KEPCASE000051,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000050,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000051,False,True
KEPCASE000052,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000051,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000052,False,True
KEPCASE000053,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000052,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000053,False,True
KEPCASE000054,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000053,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000054,False,True
KEPCASE000055,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000054,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000055,False,True
KEPCASE000056,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000055,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000056,False,True
KEPCASE000057,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000056,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000057,False,True
KEPCASE000058,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000057,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000058,False,True
KEPCASE000059,EXCLUDED_ICRA,,0,,0,0,,NOT_REQUIRED,True,True,90,KEPCASE000059,False,True
KEPCASE000060,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000058,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000060,False,True
KEPCASE000061,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000059,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000061,False,True
KEPCASE000062,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000060,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000062,False,True
KEPCASE000063,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000061,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000063,False,True
KEPCASE000064,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000062,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000064,False,True
KEPCASE000065,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000063,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000065,False,True
KEPCASE000066,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000064,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000066,False,True
KEPCASE000067,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000065,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000067,False,True
KEPCASE000068,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000066,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000068,False,True
KEPCASE000069,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000067,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000069,False,True
KEPCASE000070,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000068,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000070,False,True
KEPCASE000071,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000069,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000071,False,True
KEPCASE000072,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000070,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000072,False,True
KEPCASE000073,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000071,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000073,False,True
KEPCASE000074,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000072,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000074,False,True
KEPCASE000075,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000073,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000075,False,True
KEPCASE000076,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000074,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000076,False,True
KEPCASE000077,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000075,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000077,False,True
KEPCASE000078,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000076,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000078,False,True
KEPCASE000079,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000077,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000079,False,True
KEPCASE000080,MATCH_SORUSTURMA,sorusturma_no,1,MAIL0000078,1,0,,NOT_REQUIRED,True,True,90,KEPCASE000080,False,True
